sample_id,word_id_gold,word_gold,lemma_gold,pos_gold,token_idx,word_id_pred,word_pred,lemma_pred,pos_pred,word_match,pos_match?,lemma_match?,lemma_sim?
BCr.27a40,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.0,idest,idest,nan,0,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.3,idest,idest,ADV,True,False,True,1.0
BCr.27a40,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.1,sidera,sidus,NOUN,1,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.4,sidera,sidus,NOUN,True,True,True,1.0
BCr.27a40,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.2,uel,uel,CCONJ,2,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.5,uel,uel,CCONJ,True,True,True,1.0
BCr.27a40,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.3,spatia,spatium,NOUN,3,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a40.6,spatia,spatia,NOUN,True,True,False,0.7692307692307693
BVi.01a06,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.0,sideera,sidus,NOUN,0,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.3,sideera,sideus,NOUN,True,True,False,0.9090909090909091
BVi.01a06,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.1,uel,uel,CCONJ,1,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.4,uel,uel,SCONJ,True,False,True,1.0
BVi.01a06,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.2,spatia,spatium,NOUN,2,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a06.5,spatia,spatia,NOUN,True,True,False,0.7692307692307693
BVi.01a07,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.0,eo,is,PRON,0,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.3,eo,is,PRON,True,True,True,1.0
BVi.01a07,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.1,quorum,qui,PRON,1,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.4,quorum,qui,PRON,True,True,True,1.0
BVi.01a07,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.2,qui,qui,PRON,2,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a07.5,qui,quis,PRON,True,True,False,0.8571428571428571
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.0,fit,facio,VERB,0,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.3,fit,facio,VERB,True,True,True,1.0
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.1,lumen,lumen,NOUN,1,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.4,lumen,lumen,NOUN,True,True,True,1.0
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.2,in,in,ADP,2,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.5,in,in,ADP,True,True,True,1.0
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.3,eis,is,PRON,3,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.6,eis,is,PRON,True,True,True,1.0
Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.4,in,in,ADP,4,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.7,in,in,ADP,True,True,True,1.0
